property_id,similar_property_ids
OLRS-0020529,[]
OLRS-0023460,[]
OLRS-23686,[]
OLRS-0025345,[]
OLRS-0025796,[]
OLRS-0050908,"['OLRS-0096726', 'COMP-1572638421904287593']"
OLRS-0065265,[]
OLRS-0065786,"['COMP-1532905853672731009', 'OLRS-0097083']"
OLRS-0070189,[]
OLRS-0072534,['OLRS-00010072534']
OLRS-0079208,[]
OLRS-0083821,['RSFT-00110000000286']
OLRS-0090964,[]
RLMX-91050,[]
RLMX-92052,[]
OLRS-0092944,[]
RLMX-93017,[]
OLRS-0093334,[]
RLMX-93358,[]
OLRS-0094127,[]
OLRS-0094152,[]
RLMX-94223,[]
OLRS-0094389,[]
RLMX-94462,[]
OLRS-0094839,[]
RLMX-95058,[]
OLRS-0095254,[]
RLMX-95267,['OLRS-0098167']
RLMX-95776,[]
OLRS-0095862,[]
RLMX-96025,[]
OLRS-0096053,['RLMX-98551']
OLRS-0096253,[]
OLRS-0096255,['OLRS-00010096255']
OLRS-0096484,[]
OLRS-0096726,['OLRS-0050908']
OLRS-0096963,"['OLRS-0096964', 'OLRS-0098183', 'OLRS-0097488']"
OLRS-0096964,"['OLRS-0096963', 'OLRS-0098183', 'OLRS-0097488']"
OLRS-0097050,[]
OLRS-0097081,[]
OLRS-0097083,[]
OLRS-0097084,[]
OLRS-0097122,[]
OLRS-0097153,"['OLRS-0097083', 'OLRS-0096253']"
OLRS-0097167,[]
OLRS-0097195,[]
OLRS-0097364,['OLRS-0098169']
OLRS-0097471,[]
OLRS-0097488,"['OLRS-0098183', 'OLRS-0096964', 'OLRS-0096963']"
RLMX-97561,[]
RLMX-97565,[]
RLMX-97598,[]
OLRS-0097708,[]
OLRS-0097776,[]
OLRS-0097778,[]
OLRS-0098049,[]
OLRS-0098113,['OLRS-0096253']
OLRS-0098163,[]
OLRS-0098165,"['OLRS-00010082723', 'OLRS-0098254']"
OLRS-0098167,[]
OLRS-0098169,[]
OLRS-0098170,['OLRS-0097776']
OLRS-0098183,"['OLRS-0096964', 'OLRS-0096963', 'OLRS-0097488']"
OLRS-0098254,[]
RLMX-98431,[]
RLMX-98506,[]
RLMX-98544,[]
RLMX-98551,[]
RLMX-98727,[]
RLMX-98809,[]
RLMX-98812,"['RLMX-102042', 'RLMX-99922', 'OLRS-0098167']"
RLMX-98826,[]
RLMX-98907,['RLMX-012130023559']
RLMX-98912,"['OLRS-00012000996', 'COMP-1705214924582711849']"
RLMX-99430,[]
RLMX-99494,[]
RLMX-99543,[]
RLMX-99546,['RPLU-850722049239']
RLMX-99586,[]
RLMX-99629,[]
RLMX-99691,[]
RLMX-99756,[]
RLMX-99883,[]
RLMX-99906,[]
RLMX-99907,"['RLMX-100743', 'RLMX-102628']"
RLMX-99922,['OLRS-0098167']
RLMX-99961,"['RLMX-100402', 'RPLU-21923204633', 'OLRS-00011942796']"
RLMX-99987,"['RPLU-850722660979', 'RPLU-850723024926']"
RLMX-100126,[]
RLMX-100135,[]
RLMX-100211,['COMP-1586228083644102097']
RLMX-100218,[]
RLMX-100368,['RLMX-104229']
RLMX-100402,"['COMP-1699481757370922057', 'RLMX-99961', 'OLRS-00011942796']"
RLMX-100491,[]
RLMX-100498,[]
RLMX-100566,[]
RLMX-100567,['RLMX-012130023559']
RLMX-100669,['RLMX-100670']
RLMX-100670,['RLMX-100669']
COMP-1623959750280275713,[]
COMP-1626795694196208833,[]
COMP-1627678941656003193,['RPLU-5122398511']
COMP-1627740055777465921,[]
COMP-1627741207465543745,[]
COMP-1631152331419512057,[]
COMP-1631228942630597225,[]
COMP-1631235707120164569,[]
COMP-1631240054457564601,['RPLU-5122917476']
COMP-1634158284719157929,[]
COMP-1634199214725987889,[]
COMP-1636449816503481273,['COMP-1657273867983641369']
COMP-1637011825964067761,['COMP-1674030382880363265']
COMP-1638656181366130905,[]
COMP-1639260620393536617,['RLMX-102230']
COMP-1639472938880434977,[]
COMP-1640048978786674161,[]
COMP-1641339597199235881,[]
COMP-1642862667948992665,[]
COMP-1643014267191722529,[]
COMP-1643634096278961985,[]
COMP-1647940439374622817,[]
COMP-1649314408791143777,[]
COMP-1649481302051527089,[]
COMP-1651465970669647025,[]
COMP-1651690087004080009,['RLMX-100669']
COMP-1652267833590505625,[]
COMP-1652389380779563401,[]
COMP-1652625139931046953,[]
COMP-1652651194763197713,[]
