property_id,similar_property_ids
OLRS-0020529,"['RPLU-63222723659', 'RPLU-21923051754', 'RPLU-21922399767', 'RPLU-33423233530', 'RPLU-21923032934']"
OLRS-0023460,"['RPLU-810123228876', 'RPLU-850723080678', 'RPLU-63223043422', 'RPLU-63222723659', 'PRCH-35239855']"
OLRS-23686,"['RPLU-63223221551', 'RPLU-21923204633', 'OLRS-2078269', 'OLRS-0001120395', 'RPLU-63223179982']"
OLRS-0025345,"['OLRS-148258', 'OLRS-0094152', 'RPLU-1032522874301', 'RPLU-63223180728', 'RPLU-33423230018']"
OLRS-0025796,"['RPLU-21923205399', 'RPLU-63222932890', 'RLMX-102999', 'RPLU-63223229842', 'RPLU-33423034720']"
OLRS-0050908,"['RPLU-850723024926', 'OLRS-0097708', 'RLMX-98551', 'COMP-1638656181366130905', 'OLRS-290390']"
OLRS-0065265,"['OLRS-0097122', 'OLRS-0097050', 'RPLU-21923260653', 'RPLU-63223231701', 'PRCH-7646365']"
OLRS-0065786,"['OLRS-00010065786', 'OLRS-0097083', 'RLMX-100567', 'OLRS-0098163', 'RPLU-850723213776']"
OLRS-0070189,"['RLMX-102999', 'PRCH-7808621', 'RPLU-850723080678', 'RPLU-63223203570', 'RPLU-33423024871']"
OLRS-0072534,"['OLRS-00010072534', 'RPLU-5123035427', 'RPLU-1032522874301', 'RPLU-810123237597', 'PRCH-7808621']"
OLRS-0079208,"['RPLU-850722979150', 'RPLU-850723024926', 'RPLU-21923016078', 'OLRS-00030093008', 'RPLU-63223024805']"
OLRS-0083821,"['RLMX-103438', 'OLRS-00010090167', 'RPLU-21923167479', 'RPLU-63223043422', 'OLRS-00010080351']"
OLRS-0090964,"['RLMX-102999', 'COMP-1414057768284297713', 'RLMX-99494', 'RPLU-63223180728', 'RPLU-33421742655']"
RLMX-91050,"['OLRS-0096053', 'RPLU-850723076848', 'OLRS-0098169', 'COMP-1397848794174774329', 'RPLU-850723123803']"
RLMX-92052,"['RLMX-103575', 'OLRS-0097083', 'RPLU-63222932890', 'RPLU-850722918664', 'OLRS-00011929529']"
OLRS-0092944,"['RPLU-1086922371161', 'COMP-1562793418388992481', 'OLRS-00010090167', 'RPLU-63222932890', 'RLMX-104074']"
RLMX-93017,"['PRCH-21011926', 'PRCH-35047916', 'RPLU-63223084158', 'RPLU-5123242125', 'OLRS-00011319015']"
OLRS-0093334,"['OLRS-0096484', 'OLRS-0092944', 'RPLU-63222972655', 'OLRS-0096726', 'RPLU-21923167479']"
RLMX-93358,"['OLRS-00010094384', 'OLRS-2098906', 'RLMX-103438', 'RLMX-104074', 'OLRS-0098169']"
OLRS-0094127,"['RLMX-103438', 'OLRS-0098169', 'RLMX-101059', 'OLRS-00010090167', 'RPLU-63222932890']"
OLRS-0094152,"['RPLU-63223180728', 'RPLU-21923205399', 'RPLU-21923032934', 'RLMX-99494', 'RPLU-850723167580']"
RLMX-94223,"['RLMX-99756', 'OLRS-0092944', 'OLRS-0093334', 'RLMX-98544', 'RPLU-850723016747']"
OLRS-0094389,"['RPLU-33423024871', 'RPLU-5122919162', 'OLRS-0097050', 'RPLU-63223231701', 'RPLU-63223085917']"
RLMX-94462,"['RLMX-96025', 'RLMX-103575', 'OLRS-00011702325', 'RPLU-21923109355', 'OLRS-00021470425']"
OLRS-0094839,"['RPLU-63222932890', 'RPLU-63223043422', 'RPLU-63223231701', 'OLRS-257895', 'RPLU-21923167479']"
RLMX-95058,"['RLMX-103520', 'RLMX-101949', 'RPLU-5122666693', 'RPLU-21922620441', 'RLMX-004590011076']"
OLRS-0095254,"['OLRS-00010097828', 'RPLU-850723167580', 'RPLU-63222507869', 'PRCH-35184789', 'COMP-1596750905325669729']"
RLMX-95267,"['RLMX-101059', 'RPLU-63222996322', 'RPLU-850723123803', 'RLMX-98551', 'OLRS-00010090167']"
RLMX-95776,"['RPLU-850722645502', 'RLMX-97561', 'RPLU-850723198237', 'PRCH-7924145', 'OLRS-0098165']"
OLRS-0095862,"['RPLU-63223180728', 'RPLU-33421742655', 'COMP-1263104319027553769', 'RPLU-33423215406', 'RPLU-1032522958606']"
RLMX-96025,"['RLMX-94462', 'OLRS-0002979781', 'OLRS-2078269', 'OLRS-00021470425', 'RLMX-104045']"
OLRS-0096053,"['RLMX-91050', 'RPLU-850723076848', 'RPLU-850723213776', 'RPLU-850723123803', 'RLMX-100211']"
OLRS-0096253,"['OLRS-0097081', 'RPLU-850723213776', 'RSFT-00110000000306', 'OLRS-0097084', 'RLMX-102922']"
OLRS-0096255,"['OLRS-00010096255', 'OLRS-0096963', 'OLRS-0096964', 'OLRS-0097488', 'OLRS-0098183']"
OLRS-0096484,"['OLRS-0093334', 'OLRS-0096726', 'RPLU-63222972655', 'OLRS-0092944', 'COMP-1687705570193539785']"
OLRS-0096726,"['RLMX-104395', 'RPLU-63222972655', 'RLMX-104074', 'OLRS-0092944', 'OLRS-0098254']"
OLRS-0096963,"['OLRS-0096964', 'OLRS-0097488', 'OLRS-0098183', 'OLRS-0096255', 'OLRS-00010096255']"
OLRS-0096964,"['OLRS-0096963', 'OLRS-0097488', 'OLRS-0098183', 'OLRS-0096255', 'OLRS-00010096255']"
OLRS-0097050,"['OLRS-0097122', 'RPLU-21923018060', 'RPLU-21922399767', 'OLRS-1584332', 'OLRS-00011584332']"
OLRS-0097081,"['OLRS-0098113', 'OLRS-0096253', 'OLRS-0097167', 'RPLU-1086923059855', 'RPLU-850723213776']"
OLRS-0097083,"['RPLU-850723213776', 'RLMX-92052', 'RLMX-102922', 'RLMX-100211', 'OLRS-0096253']"
OLRS-0097084,"['OLRS-0096253', 'RLMX-101846', 'RPLU-63222996322', 'RSFT-00110000000306', 'OLRS-0097083']"
OLRS-0097122,"['OLRS-0097050', 'OLRS-2098906', 'PRCH-35201949', 'OLRS-0065265', 'RPLU-5123187934']"
OLRS-0097153,"['OLRS-0097471', 'COMP-1698937623458366481', 'RPLU-63223179982', 'OLRS-2085821', 'RLMX-101059']"
OLRS-0097167,"['OLRS-0097081', 'COMP-1562793418388992481', 'COMP-1612528132439870097', 'RPLU-63222996322', 'RPLU-1086922371161']"
OLRS-0097195,"['RLMX-102626', 'OLRS-00012069258', 'OLRS-0098170', 'OLRS-0098169', 'RPLU-850723123803']"
OLRS-0097364,"['OLRS-0098167', 'OLRS-0098170', 'OLRS-2097315', 'OLRS-00011908821', 'OLRS-00011841720']"
OLRS-0097471,"['OLRS-0097153', 'COMP-1698937623458366481', 'RPLU-63223179982', 'OLRS-00010094384', 'PRCH-21011926']"
OLRS-0097488,"['OLRS-0096963', 'OLRS-0096964', 'OLRS-0098183', 'RPLU-5123201144', 'OLRS-0096255']"
RLMX-97561,"['RLMX-102628', 'RPLU-850723198237', 'RLMX-98544', 'RLMX-100905', 'RLMX-102216']"
RLMX-97565,"['RPLU-33422914357', 'RLMX-100218', 'RPLU-5123023625', 'RPLU-63222882290', 'OLRS-2106461']"
RLMX-97598,"['COMP-1601096981796605137', 'RPLU-850723123803', 'PRCH-8361313', 'OLRS-00010090167', 'COMP-1596750905325669729']"
OLRS-0097708,"['RPLU-850723024926', 'RPLU-850723016420', 'RLMX-98551', 'OLRS-0050908', 'RPLU-850722660979']"
OLRS-0097776,"['OLRS-00011908821', 'OLRS-0097195', 'RLMX-102158', 'OLRS-0098170', 'RLMX-104130']"
