property_id,similar_property_ids
OLRS-0020529,"['RPLU-5122151833', 'RPLU-810123228876', 'RPLU-33421742655', 'OLRS-0090964', 'COMP-1263104319027553769']"
OLRS-0023460,"['RPLU-21921613047', 'RPLU-33423151890', 'RPLU-1032523093101', 'RPLU-850722934388', 'OLRS-00010084525']"
OLRS-23686,"['RLMX-104046', 'OLRS-0001120395', 'COMP-1679165774380144289', 'RLMX-104151', 'RPLU-5123237389']"
OLRS-0025345,"['RPLU-5123189094', 'RPLU-601822745294', 'COMP-1517462717684409937', 'RPLU-33423151890', 'RPLU-5122957662']"
OLRS-0025796,"['RLMX-100211', 'RPLU-21922272241', 'COMP-1562793418388992481', 'RPLU-33423209755', 'RPLU-850723211595']"
OLRS-0050908,"['RLMX-91050', 'RLMX-101715', 'RPLU-850723024926', 'BNYC-1976294', 'RLMX-98551']"
OLRS-0065265,"['RPLU-63222507869', 'RPLU-1032522985083', 'RLMX-100491', 'PRCH-8350473', 'RLMX-103575']"
OLRS-0065786,"['OLRS-00010065786', 'RLMX-103438', 'OLRS-0098163', 'RLMX-98826', 'OLRS-0094127']"
OLRS-0070189,"['RPLU-5122906518', 'OLRS-2100323', 'RLMX-101952', 'RPLU-33423175154']"
OLRS-0072534,"['OLRS-00010072534', 'RPLU-810123125731', 'RPLU-618222151938', 'RPLU-5123221941', 'RPLU-5123074855']"
OLRS-0079208,"['RPLU-63223180728', 'RPLU-850722934388', 'RPLU-63223229842', 'PRCH-8361306', 'RPLU-21922465198']"
OLRS-0083821,"['RPLU-5122941857', 'RPLU-5122941895', 'RLMX-103119', 'RPLU-33423254502', 'OLRS-456112']"
OLRS-0090964,"['PRCH-36915014', 'RPLU-63222972446', 'COMP-1263104319027553769', 'RPLU-5123219713', 'COMP-1414057768284297713']"
RLMX-91050,"['RLMX-100567', 'OLRS-0098113', 'OLRS-0096053', 'OLRS-0097084', 'OLRS-0050908']"
RLMX-92052,"['RPLU-850722979923', 'RLMX-99494', 'RPLU-63223231418', 'RPLU-850722976063', 'OLRS-00010097828']"
OLRS-0092944,"['OLRS-00010090167', 'OLRS-0098169', 'COMP-1638656181366130905', 'COMP-1562793418388992481', 'OLRS-00010094384']"
RLMX-93017,"['RPLU-21922399767', 'RPLU-5123035427', 'RPLU-601822745294', 'RPLU-284023256336']"
OLRS-0093334,"['OLRS-0096484', 'COMP-1687868131073292921', 'RPLU-1086923103257', 'OLRS-0097081', 'PRCH-7848414']"
RLMX-93358,"['RPLU-63222782967', 'RPLU-618222576119', 'RPLU-618222620597']"
OLRS-0094127,"['RLMX-100211', 'RPLU-850723211595', 'RPLU-850723213776', 'RLMX-100567', 'RPLU-63223231418']"
