property_id,similar_property_ids
OLRS-0020529,[]
OLRS-23003,"['RPLU-33423166066', 'RPLU-5123158216', 'RPLU-5123136655', 'RPLU-5123136662', 'COMP-1705258241987142361']"
OLRS-0023460,[]
OLRS-23686,['OLRS-00011942796']
OLRS-0025345,[]
OLRS-0025796,['RLMX-99987']
OLRS-0028889,[]
OLRS-48013,"['OLRS-00011584332', 'OLRS-1584332', 'RPLU-63223238783']"
OLRS-0050908,"['OLRS-0096726', 'COMP-1572638421904287593']"
OLRS-61755,[]
OLRS-0065265,[]
OLRS-0065786,"['COMP-1532905853672731009', 'OLRS-0097083']"
OLRS-0070189,[]
OLRS-0072534,['OLRS-00010072534']
OLRS-0079208,[]
OLRS-0083821,['RSFT-00110000000286']
RLMX-89347,[]
OLRS-0090964,[]
RLMX-91050,"['RLMX-101846', 'OLRS-0098167']"
RLMX-92052,['RLMX-99756']
RLMX-92579,[]
OLRS-0092944,[]
RLMX-93017,['RPLU-33423172177']
OLRS-0093334,[]
RLMX-93358,"['RLMX-100218', 'RLMX-101715']"
RLMX-93499,[]
RLMX-93500,[]
OLRS-0094127,['RLMX-98551']
OLRS-0094152,[]
RLMX-94223,[]
RLMX-94360,['RLMX-101415']
OLRS-0094389,[]
RLMX-94462,[]
OLRS-0094839,[]
RLMX-95026,[]
RLMX-95058,"['RLMX-102616', 'RLMX-96146', 'RPLU-5122934624']"
OLRS-0095254,[]
RLMX-95267,['OLRS-0098167']
RLMX-95745,['OLRS-2087770']
RLMX-95776,[]
OLRS-0095862,[]
RLMX-95963,['RLMX-102673']
RLMX-96025,[]
OLRS-0096053,['RLMX-98551']
RLMX-96146,"['RLMX-102616', 'RLMX-95058']"
OLRS-0096253,"['OLRS-0097083', 'OLRS-0097081']"
OLRS-0096255,['OLRS-00010096255']
RLMX-96270,['OLRS-2094098']
RLMX-96308,[]
RLMX-96393,['RLMX-102197']
OLRS-0096484,[]
OLRS-0096726,['OLRS-0050908']
OLRS-0096963,"['OLRS-0096964', 'OLRS-0097488', 'OLRS-0098183', 'RLMX-104395', 'COMP-1668254108286138489']"
OLRS-0096964,"['OLRS-0096963', 'OLRS-0097488', 'OLRS-0098183', 'RLMX-104395', 'COMP-1668254108286138489']"
OLRS-0097050,[]
OLRS-0097081,"['OLRS-0096253', 'OLRS-0098113']"
OLRS-0097083,"['OLRS-0096253', 'RLMX-98551']"
OLRS-0097084,['RLMX-101715']
OLRS-0097122,"['RPLU-850722660979', 'RPLU-850723024926']"
OLRS-0097153,"['OLRS-0097083', 'OLRS-0096253']"
OLRS-0097167,['RLMX-100567']
OLRS-0097195,['OLRS-0096726']
OLRS-0097364,"['OLRS-0098169', 'OLRS-0098254', 'OLRS-0097776']"
OLRS-0097471,[]
OLRS-0097488,"['OLRS-0098183', 'OLRS-0096964', 'OLRS-0096963', 'RLMX-104395', 'COMP-1668254108286138489']"
RLMX-97552,['RLMX-101193']
RLMX-97561,[]
RLMX-97565,[]
RLMX-97597,[]
RLMX-97598,[]
RLMX-97671,"['RLMX-100269', 'RPLU-753823062517']"
OLRS-0097708,[]
OLRS-0097776,[]
OLRS-0097778,['RLMX-97561']
RLMX-98032,['RPLU-33422974931']
OLRS-0098049,[]
OLRS-0098113,"['OLRS-0097083', 'OLRS-0097081', 'OLRS-0096253']"
OLRS-0098163,['OLRS-00010082723']
OLRS-0098165,"['OLRS-0098163', 'OLRS-00010082723', 'OLRS-0098254']"
OLRS-0098167,['RLMX-102042']
OLRS-0098169,"['OLRS-00010082723', 'OLRS-0098170', 'OLRS-0098254', 'OLRS-0097776']"
OLRS-0098170,"['OLRS-0098169', 'OLRS-0097776']"
